PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,ABSTRACT SCREEN,INCLUDE? ,SAMPLE SIZE,COUNTRY,TIME POINTS,TIME PERIOD,
37101123,Social contact patterns during the COVID-19 pandemic in 21 European countries - evidence from a two-year study,,,Wong KLM,BMC Infect Dis,2023,,,,,YES,YES,46779,UK,,,
18366252,Social contacts and mixing patterns relevant to the spread of infectious diseases,"Mossong J, Hens N, Jit M, Beutels P, Auranen K, Mikolajczyk R, Massari M, Salmaso S, Tomba GS, Wallinga J, Heijne J, Sadkowska-Todys M, Rosinska M, Edmunds WJ.",PLoS Med. 2008 Mar 25;5(3):e74. doi: 10.1371/journal.pmed.0050074.,Mossong J,PLoS Med,2008,3/28/08,PMC2270306,,10.1371/journal.pmed.0050074,YES,YES,7290,,,,
,Limits of lockdown: characterising essential contacts during strict physical distancing,,,Thomas A,Wellcome Open Research,2021,,,,,YES,YES,6807,UK,,,
37101123,Social contact patterns during the COVID-19 pandemic in 21 European countries - evidence from a two-year study,,,Wong KLM,BMC Infect Dis,2023,,,,,YES,YES,6427,Germany,,,
32296083,"Spatiotemporal heterogeneity of social contact patterns related to infectious diseases in the Guangdong Province, China","Huang Y, Cai X, Zhang B, Zhu G, Liu T, Guo P, Xiao J, Li X, Zeng W, Hu J, Ma W.",Sci Rep. 2020 Apr 15;10(1):6119. doi: 10.1038/s41598-020-63383-z.,Huang Y,Sci Rep,2020,4/17/20,PMC7160103,,10.1038/s41598-020-63383-z,YES,YES,5818,China,,,
35606703,Time trends in social contacts before and during the COVID-19 pandemic: the CONNECT study,,,Drolet M,BMC Public Health,2022,,,,,YES,YES,5516,Canada,,,
23804621,Social encounter networks: characterizing Great Britain,"Danon L, Read JM, House TA, Vernon MC, Keeling MJ.",Proc Biol Sci. 2013 Jun 26;280(1765):20131037. doi: 10.1098/rspb.2013.1037. Print 2013 Aug 22.,Danon L,Proc Biol Sci,2013,6/28/13,PMC3712448,,10.1098/rspb.2013.1037,YES,YES,5027,UK,,,
34503493,"Estimating the impact of reopening schools on the reproduction number of SARS-CoV-2 in England, using weekly contact survey data","Munday JD, Jarvis CI, Gimma A, Wong KLM, van Zandvoort K; CMMID COVID-19 Working Group; Funk S, Edmunds WJ.",BMC Med. 2021 Sep 10;19(1):233. doi: 10.1186/s12916-021-02107-0.,Munday JD,BMC Med,2021,09/10/2021,PMC8428960,,10.1186/s12916-021-02107-0,MAYBE,YES,5000,UK,,,
34749676,Quantifying contact patterns in response to COVID-19 public health measures in Canada,"Brankston G, Merkley E, Fisman DN, Tuite AR, Poljak Z, Loewen PJ, Greer AL.",BMC Public Health. 2021 Nov 8;21(1):2040. doi: 10.1186/s12889-021-12080-1.,Brankston G,BMC Public Health,2021,11/09/2021,PMC8574152,,10.1186/s12889-021-12080-1,MAYBE,YES,4981,CANADA,,,
35810698,"Nationally representative social contact patterns among U.S. adults, August 2020-April 2021","Nelson KN, Siegler AJ, Sullivan PS, Bradley H, Hall E, Luisi N, Hipp-Ramsey P, Sanchez T, Shioda K, Lopman BA.",Epidemics. 2022 Sep;40:100605. doi: 10.1016/j.epidem.2022.100605. Epub 2022 Jun 30.,Nelson KN,Epidemics,2022,07/10/2022,PMC9242729,,10.1016/j.epidem.2022.100605,YES,YES,4654,USA,,,
